mu,sigma,runtime,fn.evals,n,gp
0.0086198885066383,0.004512946966225461,2.078125,2.0,50.0,0.0
0.007659971066425111,0.01062938243955441,2.40625,2.0,100.0,1.0
-0.00012574308395065393,0.0025848877023044604,2.546875,3.0,250.0,2.0
-0.03753958996809475,6.581941024956891e-05,2.5,5.0,500.0,3.0
-0.06510948438914607,0.0005146505254655862,1.671875,2.0,1000.0,4.0
-0.08386664710230995,0.00017770963945492463,1.734375,4.0,5000.0,5.0
-0.4606132807044821,0.4101661771378185,0.921875,13.0,10000.0,6.0
0.13991482672532068,0.04385170006734082,1.59375,2.0,50.0,0.0
0.14275076537618855,0.044539318397376154,1.640625,2.0,100.0,1.0
0.12881894962379306,0.047783903849423326,1.421875,2.0,250.0,2.0
0.09544981262581817,0.054809607868961246,1.546875,2.0,500.0,3.0
0.049196258789483596,0.01991343592459549,1.953125,2.0,1000.0,4.0
-0.5329489560929347,1.4921208754407086e-05,2.390625,12.0,5000.0,5.0
-1.0146840811714193,0.019850486855883615,1.4375,8.0,10000.0,6.0
-0.001172672987648945,0.0015950323043282776,2.859375,15.0,50.0,0.0
0.20347706746802047,0.13751412604103344,1.96875,2.0,100.0,1.0
-0.006492512027965505,4.735329704881945e-06,5.40625,9.0,250.0,2.0
-0.03242151825911913,0.000561990505789542,3.234375,6.0,500.0,3.0
-0.036976400318540055,7.373943966144941e-06,2.9375,10.0,1000.0,4.0
-0.531600529688517,0.027668525945579836,1.5625,2.0,5000.0,5.0
-0.7120139360456522,0.000684415998292498,2.578125,9.0,10000.0,6.0
0.10460655021836804,0.03418183658784439,1.921875,2.0,50.0,0.0
0.15983064593923976,0.12360929777973906,2.046875,1.0,100.0,1.0
0.15303412939276725,0.12712384107821817,1.984375,1.0,250.0,2.0
0.13264384214460548,0.1388024142606511,1.953125,1.0,500.0,3.0
0.0758030784880252,0.060499964497216285,2.015625,2.0,1000.0,4.0
-0.1820064974531631,0.0027710508541940737,2.078125,3.0,5000.0,5.0
-0.18571131742412753,0.001780294298394599,1.578125,13.0,10000.0,6.0
0.17354601014134002,0.11374025461903337,1.53125,1.0,50.0,0.0
0.1413709789917362,0.06852726502089798,1.890625,2.0,100.0,1.0
0.13975945219618302,0.13187355271383305,1.765625,1.0,250.0,2.0
0.12868001778933574,0.13822076582600717,1.859375,1.0,500.0,3.0
0.0970861769493133,0.1572760061607481,2.296875,1.0,1000.0,4.0
-0.26782563652730823,2.043329002009198e-05,2.109375,7.0,5000.0,5.0
-0.6233060823806805,0.02472852262976567,1.03125,14.0,10000.0,6.0
0.015223844550575752,0.0035422642170554776,2.375,2.0,50.0,0.0
0.016102388898534502,0.009787227171629213,2.875,2.0,100.0,1.0
0.014825001489936217,0.009982247473892203,2.28125,1.0,250.0,2.0
0.016119978503335266,0.019599609541839355,2.546875,19.0,500.0,3.0
0.08551622932167237,6.693797320495624e-05,2.484375,5.0,1000.0,4.0
0.007875976933079515,0.10843909862996937,1.015625,11.0,5000.0,5.0
0.26597748810325933,0.00047357691472980673,2.0625,5.0,10000.0,6.0
-0.15986516826160693,0.06131257308751689,1.765625,2.0,50.0,0.0
-0.19319382023248494,0.1205879519132922,1.890625,2.0,100.0,1.0
0.04453602075852217,0.013184385661583586,1.265625,3.0,250.0,2.0
