mu,sigma,runtime,fn.evals,n,gp
0.3795635808594415,1.6737397062026111,0.765625,10.0,50.0,0.0
0.2835024141236407,2.1960400198232026,1.0,11.0,100.0,1.0
0.03994650688263996,2.1256331928785737,1.078125,15.0,250.0,2.0
-0.051568841255992016,2.29968242703785,0.8125,12.0,500.0,3.0
-0.03949565124183141,2.1896020976157926,0.65625,10.0,1000.0,4.0
0.024171583728912777,2.2000501983129097,0.71875,10.0,5000.0,5.0
0.0037315855898340635,2.153867920249371,0.796875,11.0,10000.0,6.0
0.32046413895762127,1.7679960492442612,0.828125,12.0,50.0,0.0
0.3732576088807132,1.8298238614674178,0.828125,13.0,100.0,1.0
0.2098108200599632,1.9244628975481464,1.015625,13.0,250.0,2.0
0.0188090282904707,2.0152372812046013,0.890625,12.0,500.0,3.0
-0.03280330499733416,2.084500394306621,0.78125,11.0,1000.0,4.0
0.059561821618714296,2.1975570653554555,0.6875,10.0,5000.0,5.0
0.03799250723812549,2.236388585288522,0.625,9.0,10000.0,6.0
-0.28268343421739467,1.9918267598400028,0.6875,10.0,50.0,0.0
-0.49259727660646413,1.8749297812469745,0.890625,12.0,100.0,1.0
-0.3228205463574968,2.144100413237757,0.8125,12.0,250.0,2.0
-0.17910820350551107,2.024192393808788,1.265625,17.0,500.0,3.0
-0.12434297009975091,2.2017486081519473,0.8125,13.0,1000.0,4.0
-0.027665398459661712,2.216055546983581,0.765625,10.0,5000.0,5.0
-0.06424266724761635,2.157705177982155,0.765625,12.0,10000.0,6.0
-0.6391682449905637,2.5028732333960004,0.875,12.0,50.0,0.0
0.029479603207773503,2.138370459803669,0.90625,14.0,100.0,1.0
-0.0394837438703304,2.211745584805086,0.65625,11.0,250.0,2.0
-0.007132821589063068,2.1019607820015436,0.8125,10.0,500.0,3.0
-0.007986412993073514,2.143650681078823,0.8125,12.0,1000.0,4.0
0.010765651635411167,2.1502094393226563,0.625,9.0,5000.0,5.0
-0.01284537832075635,2.2109869490342464,0.6875,11.0,10000.0,6.0
0.38263803987343914,1.9811761928212215,0.796875,11.0,50.0,0.0
0.21008142176905367,2.008701288370297,0.890625,12.0,100.0,1.0
0.0855399655974811,2.1494793268312935,0.765625,11.0,250.0,2.0
0.16404995516214674,2.326209510630029,0.671875,11.0,500.0,3.0
0.025650273915856562,2.280792334614352,0.578125,8.0,1000.0,4.0
-0.008356891811378142,2.1832186265099423,0.65625,11.0,5000.0,5.0
0.009429018506372488,2.17461925345328,0.53125,8.0,10000.0,6.0
-0.39133338298687037,1.59748544433549,0.921875,12.0,50.0,0.0
0.07563534537814749,1.6682094096849507,1.046875,12.0,100.0,1.0
0.047874989436186816,2.3765370505736123,0.6875,10.0,250.0,2.0
-0.008460972836437552,2.374405895414701,0.796875,12.0,500.0,3.0
-0.033277947560632085,2.542398621069019,0.625,10.0,1000.0,4.0
0.024058315557042485,2.328391030263169,0.5625,9.0,5000.0,5.0
-0.011894027385288863,2.246265648321406,0.671875,10.0,10000.0,6.0
0.09010464550323072,3.3805391334467507,0.421875,7.0,50.0,0.0
0.07373894138188217,2.244896171420153,0.578125,9.0,100.0,1.0
0.1174190160830808,2.7383580309298723,0.8125,12.0,250.0,2.0
0.11932196680225593,2.3690988316283703,0.65625,10.0,500.0,3.0
0.024221892512442913,2.364180551195623,0.640625,10.0,1000.0,4.0
-0.007349820593742128,2.1582865854176783,0.875,12.0,5000.0,5.0
0.0009197688435035927,2.172195281299284,0.609375,9.0,10000.0,6.0
-0.11759410931693577,2.095710143348682,0.78125,11.0,50.0,0.0
-0.04246476355165308,2.1392978935524565,0.90625,11.0,100.0,1.0
0.03351261951529103,2.1785419096430814,0.625,10.0,250.0,2.0
0.03955254155354383,2.187905912941336,0.734375,9.0,500.0,3.0
0.13293342968806526,2.256230221375696,0.90625,10.0,1000.0,4.0
0.048579055238340406,2.2797592012932055,0.875,13.0,5000.0,5.0
0.04449275284702654,2.2489622303832495,1.03125,12.0,10000.0,6.0
0.5072409195565056,1.5716545368877108,1.046875,15.0,50.0,0.0
0.09949903041878279,1.546600458459756,0.75,10.0,100.0,1.0
-0.03780817495530161,1.899989476173951,0.96875,12.0,250.0,2.0
-0.0090622810070214,1.8783900679980412,0.796875,11.0,500.0,3.0
-0.010852788249469206,1.9148867115634411,0.703125,9.0,1000.0,4.0
0.011131398130567002,2.120576989759628,0.71875,11.0,5000.0,5.0
0.030712391295315267,2.1412425855159043,0.71875,11.0,10000.0,6.0
0.7631953937644482,2.502674894661035,0.84375,13.0,50.0,0.0
0.16924915000271362,1.88550438847589,0.828125,10.0,100.0,1.0
0.14434526554204244,2.36474466299291,0.734375,11.0,250.0,2.0
-0.03034232149833631,2.422602686035029,0.734375,12.0,500.0,3.0
