mu,sigma,runtime,fn.evals,n,gp
0.18488120592051832,0.6756417731687421,13.890625,15.0,50.0,0.0
0.10813244016080749,0.8617285076087097,10.34375,12.0,100.0,1.0
0.06407781661390673,0.9248953829783378,15.671875,13.0,250.0,2.0
0.02862056471520543,0.9760950120523292,12.03125,9.0,500.0,3.0
0.025651038371264666,0.9723244037703643,9.390625,8.0,1000.0,4.0
0.01994916322304038,0.9892959152392838,13.09375,14.0,5000.0,5.0
0.01418319734647305,0.9918812929869408,13.21875,12.0,10000.0,6.0
0.17878037658472767,0.9496726665928792,7.890625,18.0,50.0,0.0
0.17500958677051423,0.9188824457692913,11.640625,9.0,100.0,1.0
0.010465172081247281,1.0168771507992587,9.546875,13.0,250.0,2.0
0.02714037893607999,0.9906739004559577,1.453125,7.0,500.0,3.0
0.0176865290695782,0.983674355093697,10.6875,9.0,1000.0,4.0
0.00540410779312152,0.9918619529894861,8.796875,15.0,5000.0,5.0
0.002823958500107468,0.9987647441089844,12.8125,11.0,10000.0,6.0
-0.009592518037249288,1.0150228273438626,14.453125,5.0,50.0,0.0
-0.05580333876376206,1.007774627044871,13.625,10.0,100.0,1.0
-0.06484805468151057,1.0396011852303153,8.703125,12.0,250.0,2.0
-0.027368693400982788,1.0148237909299371,11.984375,12.0,500.0,3.0
-0.022762498791884106,1.0027363432456673,8.109375,8.0,1000.0,4.0
0.008536569559348839,0.9909187900367982,13.921875,10.0,5000.0,5.0
-0.0023909693133191954,1.0008784967625775,10.234375,10.0,10000.0,6.0
0.04388581519975161,0.9962401857381963,6.984375,7.0,50.0,0.0
0.042754454585833594,1.0181296886518616,13.015625,11.0,100.0,1.0
0.015322169664600175,1.0074602832764286,3.453125,9.0,250.0,2.0
0.025831215989906602,0.9864415265425298,13.140625,12.0,500.0,3.0
-0.012313558966795674,1.0177863689236324,14.078125,12.0,1000.0,4.0
0.003088572558252007,0.9994957230081758,11.140625,9.0,5000.0,5.0
0.01044912529369674,0.9909602615341015,13.9375,14.0,10000.0,6.0
0.07638723996849632,0.9557173857710585,2.296875,10.0,50.0,0.0
0.0394003298388486,0.957151995541076,5.140625,12.0,100.0,1.0
0.023727631367898877,0.9623950322029495,11.71875,10.0,250.0,2.0
0.007911823602460503,0.9825928671989002,8.234375,9.0,500.0,3.0
0.015647711965192598,0.9850701786700878,12.890625,12.0,1000.0,4.0
0.006773321078545359,0.9995341019276154,7.625,9.0,5000.0,5.0
0.0033289630353694117,0.9971349572804195,11.59375,10.0,10000.0,6.0
