mu,sigma,runtime,fn.evals,n,gp
0.371106673648677,0.7606595425243006,0.0625,13.0,5000.0,0.0
0.34852823304946196,0.6955515055901107,0.46875,19.0,6000.0,1.0
0.3761042652296326,0.7016558543060923,0.3125,10.0,7000.0,2.0
0.35058554467843006,0.6767621282702675,0.40625,17.0,8000.0,3.0
0.40634896342893534,0.6839227117937503,0.265625,14.0,9000.0,4.0
0.5053410991221117,0.7852876962141919,0.53125,14.0,5000.0,0.0
0.4488494468574788,0.6989395509152847,0.53125,19.0,6000.0,1.0
0.42608256682072393,0.6868185981816608,0.46875,23.0,7000.0,2.0
0.4146998225734501,0.6909033543077993,0.265625,13.0,8000.0,3.0
0.3905577966909566,0.6157413444737658,0.234375,18.0,9000.0,4.0
0.43810529820369887,0.698582428975879,0.453125,16.0,5000.0,0.0
0.43725373717107935,0.7075741981920131,0.296875,21.0,6000.0,1.0
0.39745325582976804,0.6944572773589714,0.34375,20.0,7000.0,2.0
0.36047060423400623,0.6688243359326784,0.375,13.0,8000.0,3.0
0.4074513141344473,0.673728313420938,0.09375,13.0,9000.0,4.0
0.35986805144775086,0.7838898408770775,0.0625,10.0,5000.0,0.0
0.36112230500708187,0.7399559597123715,0.34375,11.0,6000.0,1.0
0.3158786803218594,0.6226187812714147,0.421875,18.0,7000.0,2.0
0.40444159781801237,0.6849751458545966,0.328125,13.0,8000.0,3.0
0.35539241746315253,0.6514625398154176,0.390625,13.0,9000.0,4.0
0.3284365040351607,0.6890748724288792,0.3125,14.0,5000.0,0.0
0.36461828713396754,0.6994055561516308,0.390625,18.0,6000.0,1.0
0.4155233768509333,0.7317526370842645,0.375,14.0,7000.0,2.0
0.40227910324866906,0.7117062513434106,0.0625,13.0,8000.0,3.0
0.3776129082978459,0.64704323900737,0.3125,17.0,9000.0,4.0
0.43813087197687095,0.7717950544327143,0.46875,24.0,5000.0,0.0
0.3837046860828722,0.7077210687138321,0.375,13.0,6000.0,1.0
0.3381253140514902,0.7068676717558857,0.234375,15.0,7000.0,2.0
0.33596196220417135,0.6622573887885274,0.390625,16.0,8000.0,3.0
0.34220078420000144,0.6331887485520342,0.375,14.0,9000.0,4.0
0.38756960385151235,0.7316298592052854,0.34375,17.0,5000.0,0.0
0.41531511300020046,0.6757266987090489,0.328125,23.0,6000.0,1.0
0.35374732161467504,0.6684865451446043,0.40625,16.0,7000.0,2.0
0.3524644308715612,0.6598196001724946,0.4375,23.0,8000.0,3.0
0.3814138617812154,0.6694139791590455,0.375,17.0,9000.0,4.0
0.3990988605699193,0.7003271375934037,0.390625,17.0,5000.0,0.0
0.4223401160781151,0.7576567207235688,0.375,13.0,6000.0,1.0
0.39373044161046084,0.7172962890161492,0.046875,10.0,7000.0,2.0
0.3567398887034496,0.7353551450560363,0.421875,13.0,8000.0,3.0
0.32611033516331567,0.6530921624549256,0.390625,13.0,9000.0,4.0
0.4098108189294579,0.69491634980574,0.25,20.0,5000.0,0.0
0.38818084820462356,0.7223588345351065,0.296875,11.0,6000.0,1.0
0.38805079973959816,0.6511924422160357,0.40625,12.0,7000.0,2.0
0.33078512699519635,0.619287699769604,0.34375,13.0,8000.0,3.0
0.365470473965262,0.6580711809976693,0.34375,14.0,9000.0,4.0
0.3938764338695886,0.6649739909625979,0.25,11.0,5000.0,0.0
0.37582395823373116,0.7042592005286775,0.4375,10.0,6000.0,1.0
0.38910022172576947,0.7035804621199133,0.421875,18.0,7000.0,2.0
0.41409923958423217,0.646960664221605,0.625,28.0,8000.0,3.0
0.3668600139467506,0.6451549613603617,0.5625,15.0,9000.0,4.0
0.3976577729194652,0.7498187384699813,0.390625,12.0,5000.0,0.0
0.38042223556537075,0.6649952134719779,0.0625,11.0,6000.0,1.0
0.38171408120640304,0.6540376403646876,0.640625,27.0,7000.0,2.0
0.3759185032431796,0.6533239833018054,0.515625,12.0,8000.0,3.0
0.3750021586140036,0.6179035616271381,0.34375,9.0,9000.0,4.0
0.44026590572401314,0.7906687518040488,0.453125,19.0,5000.0,0.0
0.3996201715709052,0.76504006157499,0.390625,13.0,6000.0,1.0
0.36583486400427834,0.6507080454023987,0.109375,11.0,7000.0,2.0
0.40688411658652324,0.6418805785786847,0.328125,14.0,8000.0,3.0
0.3904088939437452,0.6281971355858391,0.296875,13.0,9000.0,4.0
0.43044741610651416,0.8256797018301604,0.453125,19.0,5000.0,0.0
0.385295676077258,0.7138499236128012,0.25,14.0,6000.0,1.0
0.3618291465142744,0.653251075835606,0.453125,22.0,7000.0,2.0
0.4007818481246764,0.6984030957918068,0.40625,10.0,8000.0,3.0
0.42002567019139203,0.6972705793582646,0.390625,12.0,9000.0,4.0
0.38045581631186204,0.754714752257631,0.359375,18.0,5000.0,0.0
0.4085662724554349,0.7086240439354364,0.25,14.0,6000.0,1.0
0.37194034875691345,0.6838474390580369,0.578125,22.0,7000.0,2.0
0.36490302797997126,0.6520797662808383,0.46875,15.0,8000.0,3.0
0.40411122161736046,0.68214751449459,0.375,16.0,9000.0,4.0
0.4233629041278465,0.7722077279227514,0.15625,14.0,5000.0,0.0
0.39272228824871647,0.7364431274128797,0.15625,14.0,6000.0,1.0
0.3674798048530192,0.6900886583299652,0.328125,22.0,7000.0,2.0
0.4092638676668413,0.7110006533129264,0.46875,20.0,8000.0,3.0
0.3875569084638626,0.683247110099761,0.109375,13.0,9000.0,4.0
0.40122228479697153,0.7371197954434869,0.359375,15.0,5000.0,0.0
0.3384612997577767,0.6660339848298268,0.421875,15.0,6000.0,1.0
0.3443823630763792,0.7003464606691286,0.0625,11.0,7000.0,2.0
0.3390996442356477,0.625337659893379,0.0625,10.0,8000.0,3.0
0.35586554480346805,0.6305629498158581,0.046875,8.0,9000.0,4.0
0.38356222147326074,0.7523809672956572,0.375,15.0,5000.0,0.0
0.37227503262980066,0.7082718482202356,0.328125,19.0,6000.0,1.0
0.3885255117639951,0.6799112686906534,0.390625,16.0,7000.0,2.0
0.32713341354027453,0.6226683804244885,0.328125,11.0,8000.0,3.0
0.3294552333974895,0.6259499870270208,0.3125,14.0,9000.0,4.0
0.38400353777317253,0.7472892282213346,0.328125,12.0,5000.0,0.0
0.38713620761128714,0.7436343672131354,0.109375,16.0,6000.0,1.0
0.43983003613507987,0.7363910194910581,0.28125,14.0,7000.0,2.0
0.39671821607679997,0.6055925823268091,0.5,17.0,8000.0,3.0
0.295525684385346,0.6186417189093735,0.4375,13.0,9000.0,4.0
0.37938535156306047,0.7359871030111715,0.375,14.0,5000.0,0.0
0.3517997892472424,0.6885232782678263,0.390625,19.0,6000.0,1.0
0.43567723959726595,0.7212279391326307,0.453125,19.0,7000.0,2.0
0.4022826751007566,0.6189719600085132,0.125,14.0,8000.0,3.0
0.33245715495511247,0.6639054421598579,0.359375,19.0,9000.0,4.0
0.38427982726406046,0.7263038104318347,0.140625,8.0,5000.0,0.0
0.3322462471942305,0.6450164283317201,0.3125,9.0,6000.0,1.0
0.359325402807825,0.6242679020269762,0.390625,15.0,7000.0,2.0
0.38530528372015826,0.675486940497213,0.078125,14.0,8000.0,3.0
0.3533082657960344,0.6324471715407304,0.109375,13.0,9000.0,4.0
0.3616413941172822,0.6937900954514705,0.09375,11.0,5000.0,0.0
0.3248480227576693,0.6406134066566216,0.375,17.0,6000.0,1.0
0.321617788831079,0.6041008620823611,0.40625,16.0,7000.0,2.0
0.3828298194573995,0.6148206447976335,0.296875,11.0,8000.0,3.0
0.30663374839348995,0.607309132040443,0.15625,16.0,9000.0,4.0
0.3870925665609555,0.7573978171659552,0.078125,13.0,5000.0,0.0
0.3526288022912195,0.7146599815808584,0.421875,17.0,6000.0,1.0
0.40016880320664194,0.672119356879941,0.359375,19.0,7000.0,2.0
0.34215473779237804,0.6904381171348923,0.546875,20.0,8000.0,3.0
0.35252582420151984,0.6645094114451104,0.359375,12.0,9000.0,4.0
0.4264072723659798,0.7430043845369096,0.359375,12.0,5000.0,0.0
0.40546111644037613,0.7083637878829846,0.171875,13.0,6000.0,1.0
0.4065502499297581,0.6813154107413056,0.390625,12.0,7000.0,2.0
0.4094084252399857,0.6493055995346105,0.171875,14.0,8000.0,3.0
0.37819986952151174,0.6536930708877918,0.046875,8.0,9000.0,4.0
0.42199082791442316,0.7021495121899847,0.359375,16.0,5000.0,0.0
0.3584603790937253,0.6708963212559206,0.359375,11.0,6000.0,1.0
0.3737674784037857,0.6466435899802788,0.09375,12.0,7000.0,2.0
0.39211740003666384,0.6711316382718685,0.375,15.0,8000.0,3.0
0.38137288432518734,0.6611141511578158,0.15625,15.0,9000.0,4.0
0.3357322481272873,0.736881097298008,0.390625,12.0,5000.0,0.0
0.35057294716898457,0.679588349107017,0.109375,10.0,6000.0,1.0
0.40765252602818614,0.6913566383694091,0.34375,19.0,7000.0,2.0
0.3567561720941267,0.6752223216839404,0.296875,16.0,8000.0,3.0
0.3649949392922375,0.67816468467835,0.453125,20.0,9000.0,4.0
0.36232725767771884,0.7100467174328543,0.40625,19.0,5000.0,0.0
0.4075732925342741,0.6784992448487734,0.4375,24.0,6000.0,1.0
0.3909397421093271,0.695272091525662,0.109375,19.0,7000.0,2.0
0.3428310680922899,0.6610028655761825,0.390625,15.0,8000.0,3.0
0.3699188670771018,0.6374790757010992,0.21875,11.0,9000.0,4.0
0.36458339685688124,0.7398500378828536,0.4375,16.0,5000.0,0.0
0.3454757145446959,0.673481101783317,0.359375,14.0,6000.0,1.0
0.33421151843882024,0.6459600415539121,0.296875,23.0,7000.0,2.0
0.36910395207620583,0.6414891659550253,0.328125,10.0,8000.0,3.0
0.29381253776430566,0.5905974171006596,0.40625,13.0,9000.0,4.0
0.4012772121170006,0.7023469269562316,0.328125,13.0,5000.0,0.0
0.42445650131399115,0.7075697123623406,0.328125,20.0,6000.0,1.0
0.42328591162167684,0.6981281506895977,0.140625,20.0,7000.0,2.0
0.36194582338104836,0.6155104797023118,0.15625,19.0,8000.0,3.0
0.4102598535962407,0.602164477799327,0.4375,15.0,9000.0,4.0
0.37258535412246724,0.718865385048256,0.390625,19.0,5000.0,0.0
0.4527163568100713,0.7486015427396349,0.34375,12.0,6000.0,1.0
0.43873187801764607,0.7398385033482594,0.0625,11.0,7000.0,2.0
0.36939390796544924,0.7212692090508186,0.453125,14.0,8000.0,3.0
0.3877316420424697,0.6546137457509779,0.46875,18.0,9000.0,4.0
0.37929703406357146,0.6889326060500948,0.46875,15.0,5000.0,0.0
0.3727126346351179,0.6468640888364287,0.109375,21.0,6000.0,1.0
0.37374572919166243,0.7192421986947698,0.46875,17.0,7000.0,2.0
0.427050168806842,0.6769825736241527,0.0625,11.0,8000.0,3.0
0.3913449660861711,0.6500580926599231,0.421875,14.0,9000.0,4.0
0.34976223833465864,0.7386129584697535,0.25,12.0,5000.0,0.0
0.37161236431965267,0.7118475358737784,0.359375,16.0,6000.0,1.0
0.4124575611708771,0.7114356728476559,0.375,14.0,7000.0,2.0
0.35279039369830106,0.698422233944002,0.0625,10.0,8000.0,3.0
0.38001943575019426,0.6589129820831292,0.15625,12.0,9000.0,4.0
0.41632701753619894,0.7691796060059006,0.5,24.0,5000.0,0.0
0.4441829506781081,0.7526358664181668,0.34375,16.0,6000.0,1.0
0.40273479234887494,0.7002071537486458,0.390625,19.0,7000.0,2.0
0.3619992004380442,0.6448606808329044,0.234375,10.0,8000.0,3.0
0.3596538652651472,0.6293092893455653,0.609375,22.0,9000.0,4.0
0.4122151066915798,0.7799587023795997,0.125,16.0,5000.0,0.0
0.359395495448681,0.7034766406199062,0.046875,10.0,6000.0,1.0
0.3649946859542574,0.6772727235749835,0.40625,13.0,7000.0,2.0
0.34704609542679576,0.6609362609761874,0.109375,9.0,8000.0,3.0
0.35021071331172415,0.667025842271531,0.359375,13.0,9000.0,4.0
0.4219573610171347,0.7969034650819766,0.0625,11.0,5000.0,0.0
0.3202284711488622,0.6791048917754193,0.328125,10.0,6000.0,1.0
0.38934861723544223,0.6821560801194243,0.40625,12.0,7000.0,2.0
0.3338230949073659,0.6281168533120609,0.359375,14.0,8000.0,3.0
0.41733460421538554,0.6112444257381963,0.46875,19.0,9000.0,4.0
